baseline,delta
ocsvm,0.00903725
ocsvm,0.00933949
ocsvm,0.01541789
ocsvm,0.0084531
ocsvm,0.01318257
ocsvm,0.01162915
ocsvm,0.01007354
ocsvm,0.00944564
ocsvm,0.00620164
ocsvm,0.01365622
ocsvm,0.00988717
ocsvm,0.00252715
ocsvm,0.0102552
ocsvm,0.01321752
ocsvm,0.00843978
ocsvm,0.0187712
ocsvm,0.01309992
ocsvm,0.00453562
ocsvm,0.00941485
ocsvm,0.01217369
ocsvm,0.00726392
ocsvm,0.00621094
ocsvm,0.01111066
ocsvm,0.01640464
ocsvm,0.01177166
ocsvm,0.00983387
ocsvm,0.01459607
ocsvm,0.00555107
ocsvm,0.00982692
ocsvm,0.01006017
ocsvm,0.0135065
ocsvm,0.01076621
ocsvm,0.01461482
ocsvm,0.01413435
ocsvm,0.00563275
ocsvm,0.01050305
ocsvm,0.00522091
ocsvm,0.00679266
ocsvm,0.01083499
ocsvm,0.00916416
ocsvm,0.01361748
ocsvm,0.010365
ocsvm,0.00524311
ocsvm,0.00874884
ocsvm,0.01104608
ocsvm,0.01115111
ocsvm,0.01442545
ocsvm,0.01181082
ocsvm,0.00929864
ocsvm,0.00741251
ocsvm,0.01292204
ocsvm,0.00097401
ocsvm,0.01186279
ocsvm,0.00948359
ocsvm,0.00789299
ocsvm,0.01121932
ocsvm,0.01026907
ocsvm,0.01346932
ocsvm,0.0091642
ocsvm,0.01224053
ocsvm,0.00976884
ocsvm,0.01116811
ocsvm,0.00787519
ocsvm,0.01082332
ocsvm,0.00875814
ocsvm,-0.00121866
ocsvm,0.01074287
ocsvm,0.01145599
ocsvm,0.01092439
ocsvm,0.00862807
ocsvm,0.00716761
ocsvm,0.0048176
ocsvm,0.01174126
ocsvm,0.0020895
ocsvm,0.01368976
ocsvm,0.00918267
ocsvm,0.01483807
ocsvm,0.00922915
ocsvm,0.00709641
ocsvm,0.01126885
ocsvm,0.00545119
ocsvm,0.00704064
ocsvm,0.00707458
ocsvm,0.01335901
ocsvm,0.00839345
ocsvm,0.00196536
ocsvm,0.00261383
ocsvm,0.01059658
ocsvm,0.01280905
ocsvm,0.00158048
ocsvm,0.01391194
ocsvm,0.00906429
ocsvm,0.01284594
ocsvm,0.00519598
ocsvm,0.00752817
ocsvm,0.00788966
ocsvm,0.00294119
ocsvm,0.01177621
ocsvm,0.01499504
ocsvm,0.00571188
ocsvm,0.01729894
ocsvm,0.0196123
ocsvm,0.00937616
ocsvm,0.01438194
ocsvm,0.01496
ocsvm,0.01632869
ocsvm,0.00662894
ocsvm,0.01144033
ocsvm,0.00716578
ocsvm,0.01063682
ocsvm,0.01009691
ocsvm,0.01237638
ocsvm,0.01306985
ocsvm,0.0049229
ocsvm,0.01216997
ocsvm,0.01295845
ocsvm,0.01262509
ocsvm,0.01277974
ocsvm,0.01024247
ocsvm,0.01813695
ocsvm,0.00970646
ocsvm,0.00857983
ocsvm,0.01770252
ocsvm,0.01235975
ocsvm,0.0065923
ocsvm,0.01032487
ocsvm,0.00818039
ocsvm,0.01305663
ocsvm,0.01022536
ocsvm,0.00869799
ocsvm,0.01128967
ocsvm,0.00486568
ocsvm,0.007883
ocsvm,0.0100967
ocsvm,0.00967825
ocsvm,0.00785508
ocsvm,0.01208428
ocsvm,0.02045165
ocsvm,0.01092035
ocsvm,0.00952925
ocsvm,0.01150846
ocsvm,0.01529727
ocsvm,0.00764642
ocsvm,0.0088923
ocsvm,0.00675358
ocsvm,0.0086249
ocsvm,0.00757372
ocsvm,0.01521016
ocsvm,0.00917643
ocsvm,0.00674244
ocsvm,0.00660722
