baseline,delta
ocsvm,0.00932753
ocsvm,0.01345885
ocsvm,0.01316367
ocsvm,0.00427197
ocsvm,0.01964526
ocsvm,0.01372156
ocsvm,0.01130088
ocsvm,0.01084668
ocsvm,0.00986128
ocsvm,0.01256536
ocsvm,0.00437798
ocsvm,0.01352566
ocsvm,0.0077003
ocsvm,0.0065455
ocsvm,0.00744977
ocsvm,0.01439202
ocsvm,0.01327542
ocsvm,0.00927952
ocsvm,0.01610908
ocsvm,0.00960215
ocsvm,0.00685254
ocsvm,0.01221404
ocsvm,0.01498017
ocsvm,0.01683037
ocsvm,0.01112825
ocsvm,0.00375674
ocsvm,0.00904997
ocsvm,0.00346079
ocsvm,0.00895999
ocsvm,0.013666
ocsvm,0.00526305
ocsvm,0.01154442
ocsvm,0.01189951
ocsvm,0.00288425
ocsvm,0.0163631
ocsvm,0.00342487
ocsvm,0.00335413
ocsvm,0.00818603
ocsvm,0.01019531
ocsvm,0.00893479
ocsvm,0.00679513
ocsvm,0.00715938
ocsvm,0.00899538
ocsvm,0.00237758
ocsvm,0.00579564
ocsvm,0.01050042
ocsvm,0.00931885
ocsvm,0.01613293
ocsvm,0.00703433
ocsvm,0.01184414
ocsvm,0.0104774
ocsvm,0.00902534
ocsvm,0.01587288
ocsvm,0.00923972
ocsvm,0.015683
ocsvm,0.01628236
ocsvm,0.01105226
ocsvm,0.01017172
ocsvm,0.01663228
ocsvm,0.00461209
ocsvm,0.01392213
ocsvm,0.01166221
ocsvm,0.00801838
ocsvm,0.01700316
ocsvm,0.01035315
ocsvm,0.01001253
ocsvm,0.00904301
ocsvm,0.01522708
ocsvm,0.01701914
ocsvm,0.01063862
ocsvm,0.00874693
ocsvm,0.01575618
ocsvm,0.0128535
ocsvm,0.00695142
ocsvm,0.01087724
ocsvm,0.00896471
ocsvm,0.00408006
ocsvm,0.01382267
ocsvm,0.00431293
ocsvm,0.01823213
ocsvm,0.00413406
ocsvm,0.01185057
ocsvm,0.00972909
ocsvm,0.01412574
ocsvm,0.01387673
ocsvm,0.01328522
ocsvm,0.01101676
ocsvm,0.00657803
ocsvm,0.00757266
ocsvm,0.0110582
ocsvm,0.01140776
ocsvm,0.00947996
ocsvm,0.01177791
ocsvm,0.01141275
ocsvm,0.00652401
ocsvm,0.00924276
ocsvm,0.01404928
ocsvm,0.00954622
ocsvm,0.00753294
ocsvm,0.01426578
ocsvm,0.01284537
ocsvm,0.00788485
ocsvm,0.0092676
ocsvm,-0.00169276
ocsvm,0.01463596
ocsvm,0.01530709
ocsvm,0.01025985
ocsvm,0.0112128
ocsvm,0.00598715
ocsvm,0.01371515
ocsvm,0.01060667
ocsvm,0.00684033
ocsvm,0.00799687
ocsvm,0.01709433
ocsvm,0.00171469
ocsvm,0.01589242
ocsvm,0.01134547
ocsvm,0.01028636
ocsvm,0.00983384
ocsvm,0.01051744
ocsvm,0.00830735
ocsvm,0.01382255
ocsvm,0.00752517
ocsvm,0.01028476
ocsvm,0.01333374
ocsvm,0.01208724
ocsvm,0.01003192
ocsvm,0.00118191
ocsvm,0.0124558
ocsvm,0.00714873
ocsvm,0.01704633
ocsvm,0.01580785
ocsvm,0.01143758
ocsvm,0.00761271
ocsvm,0.00736741
ocsvm,0.01574395
ocsvm,0.01194365
ocsvm,0.01300726
ocsvm,0.01307908
ocsvm,0.01670269
ocsvm,0.00608619
ocsvm,0.01418113
ocsvm,0.01255336
ocsvm,0.00893627
ocsvm,0.00618097
ocsvm,0.00794655
ocsvm,0.00574095
ocsvm,0.01198893
ocsvm,0.01481689
ocsvm,0.00880279
ocsvm,0.00929057
ocsvm,0.00315093
ocsvm,0.00830705
ocsvm,0.01256504
ocsvm,0.00869582
ocsvm,0.00846837
ocsvm,0.00647918
ocsvm,0.0135984
ocsvm,0.01111987
ocsvm,0.01131995
ocsvm,0.00665216
ocsvm,0.00983267
ocsvm,0.01725362
ocsvm,0.01656335
ocsvm,0.01236579
ocsvm,0.01304491
ocsvm,0.0175089
ocsvm,0.01170484
ocsvm,0.01042389
ocsvm,0.01233821
ocsvm,0.00902644
ocsvm,0.00869318
ocsvm,0.01127678
ocsvm,0.0110564
ocsvm,0.00476235
ocsvm,0.01169428
ocsvm,0.00721481
ocsvm,0.00876939
ocsvm,0.00950684
ocsvm,0.00692087
ocsvm,0.0142025
ocsvm,0.00453576
ocsvm,0.00877922
ocsvm,0.0125395
ocsvm,0.00693759
ocsvm,0.00504916
ocsvm,0.00372406
ocsvm,0.01167834
ocsvm,0.01843528
ocsvm,0.00915222
ocsvm,0.00723821
ocsvm,0.0052347
ocsvm,0.01220994
ocsvm,0.01294844
ocsvm,0.00762157
ocsvm,0.01566107
ocsvm,0.00992158
ocsvm,0.00610443
ocsvm,0.01039946
ocsvm,0.01391226
ocsvm,0.01296066
ocsvm,0.01190896
ocsvm,0.00852337
ocsvm,0.01403221
ocsvm,0.00918185
ocsvm,0.01424719
ocsvm,0.0133589
ocsvm,0.01284604
ocsvm,0.00637921
ocsvm,0.00946628
ocsvm,0.01319813
ocsvm,0.00689017
ocsvm,0.01074279
ocsvm,0.01128667
ocsvm,0.01393163
ocsvm,0.00886726
ocsvm,0.01626504
ocsvm,0.01233006
ocsvm,0.01276352
ocsvm,0.01759145
ocsvm,0.01497227
ocsvm,0.00858815
ocsvm,0.01362305
ocsvm,0.01305811
ocsvm,0.00902019
ocsvm,0.00877046
ocsvm,0.01091327
ocsvm,0.0104954
ocsvm,0.01219869
ocsvm,0.01137042
ocsvm,0.0109854
ocsvm,0.01150982
ocsvm,0.00958975
ocsvm,0.01170625
ocsvm,0.01047523
ocsvm,0.00874058
ocsvm,0.00922797
ocsvm,0.00790344
ocsvm,0.00918908
ocsvm,0.0117492
ocsvm,0.01249631
ocsvm,0.0098885
ocsvm,0.00545982
ocsvm,0.00665135
ocsvm,0.01169122
ocsvm,0.01245335
ocsvm,0.00836468
ocsvm,0.00905007
ocsvm,0.01370412
ocsvm,0.01788806
ocsvm,0.00304583
ocsvm,0.0068276
ocsvm,0.0088369
ocsvm,0.010861
ocsvm,0.01259066
ocsvm,0.00757029
ocsvm,0.00818376
ocsvm,0.01145614
ocsvm,0.01021216
ocsvm,0.01129836
ocsvm,0.00842749
ocsvm,0.00442445
ocsvm,0.00389256
ocsvm,0.01041938
ocsvm,0.01584002
ocsvm,0.01875501
ocsvm,0.00841078
ocsvm,0.00971657
ocsvm,0.00375048
ocsvm,0.01151696
ocsvm,0.00770073
ocsvm,0.0062866
ocsvm,0.01358301
ocsvm,0.01070165
ocsvm,0.00487237
ocsvm,0.00852611
ocsvm,0.00411621
ocsvm,0.00158993
ocsvm,0.01227767
ocsvm,0.00792825
ocsvm,0.0068307
ocsvm,0.00853749
ocsvm,0.01347794
ocsvm,0.01305036
ocsvm,0.00971054
ocsvm,0.01057477
ocsvm,0.00933352
ocsvm,0.00757759
ocsvm,0.00662053
ocsvm,0.00927063
ocsvm,0.01431277
ocsvm,0.00995306
ocsvm,0.00636856
ocsvm,0.01328793
ocsvm,0.01454068
ocsvm,0.01153606
ocsvm,0.0102791
ocsvm,0.00869739
ocsvm,0.01547208
ocsvm,0.00914485
ocsvm,0.01480597
ocsvm,0.01252938
ocsvm,0.00923822
ocsvm,0.01014285
ocsvm,0.00725059
ocsvm,0.01356397
ocsvm,0.00710221
ocsvm,0.00494556
ocsvm,0.01814563
ocsvm,0.01245328
ocsvm,0.00946153
ocsvm,0.01478905
ocsvm,0.00416281
ocsvm,0.01276514
ocsvm,0.01371495
ocsvm,0.01186688
ocsvm,0.00965435
ocsvm,0.00871239
ocsvm,0.01362806
ocsvm,0.0103816
ocsvm,0.0094879
ocsvm,0.00521622
ocsvm,0.01270448
ocsvm,0.01050821
ocsvm,0.0045217
ocsvm,0.00764892
ocsvm,0.01256007
ocsvm,0.00954784
ocsvm,0.00542882
ocsvm,0.0135952
ocsvm,0.01381331
ocsvm,0.01262412
ocsvm,0.00633738
ocsvm,0.01382772
ocsvm,0.00714522
ocsvm,0.0077571
ocsvm,0.01094225
ocsvm,0.00680653
ocsvm,0.01275752
ocsvm,0.00652491
ocsvm,0.00667369
ocsvm,0.00941406
ocsvm,0.00468776
ocsvm,0.01471888
ocsvm,0.01274463
ocsvm,0.01150179
ocsvm,0.01007594
ocsvm,0.01460536
ocsvm,0.01246332
ocsvm,0.01011434
ocsvm,0.02153268
ocsvm,0.00992084
ocsvm,0.0093164
ocsvm,0.00556135
ocsvm,0.0098105
ocsvm,0.00554621
ocsvm,0.00655941
ocsvm,0.01692345
ocsvm,0.01035388
ocsvm,0.01062539
ocsvm,0.00731633
ocsvm,0.00735556
ocsvm,0.00858704
ocsvm,0.01531749
ocsvm,0.01648942
ocsvm,0.014105
ocsvm,0.01337708
ocsvm,0.01792445
ocsvm,0.00474061
ocsvm,0.00418493
ocsvm,0.00602783
ocsvm,0.00562441
ocsvm,0.01503812
ocsvm,0.01132218
ocsvm,0.0119219
ocsvm,0.0052661
ocsvm,0.01181983
ocsvm,0.00690837
ocsvm,0.01523754
ocsvm,0.01459932
ocsvm,0.01331233
ocsvm,0.00676565
ocsvm,0.01341304
ocsvm,0.0208362
ocsvm,0.00889777
ocsvm,0.00466358
ocsvm,0.0148173
ocsvm,0.01332442
ocsvm,0.01194573
ocsvm,0.01449248
ocsvm,0.01226745
ocsvm,0.00056189
ocsvm,0.01152947
ocsvm,0.01309443
ocsvm,0.00430205
ocsvm,0.0103218
ocsvm,0.00906675
ocsvm,0.00274404
ocsvm,0.01755864
ocsvm,-0.00171384
ocsvm,0.01539354
ocsvm,0.00949377
ocsvm,0.01063407
ocsvm,0.01321955
ocsvm,0.01251311
ocsvm,0.00205534
ocsvm,0.01075178
ocsvm,0.0058963
ocsvm,0.01355228
ocsvm,0.00976251
ocsvm,0.01234054
ocsvm,0.01137396
ocsvm,0.01239515
ocsvm,0.01039258
ocsvm,0.01007398
ocsvm,0.01606024
ocsvm,0.01446371
ocsvm,0.01087183
ocsvm,0.00685777
ocsvm,0.00264085
ocsvm,0.01159645
ocsvm,0.01109902
ocsvm,0.00914469
ocsvm,0.01561607
ocsvm,0.00590143
ocsvm,0.01173726
ocsvm,0.01178744
ocsvm,0.01268665
ocsvm,0.01048406
ocsvm,0.01036541
ocsvm,0.00825258
ocsvm,0.00800141
ocsvm,0.01506573
ocsvm,0.00928199
ocsvm,0.0100173
ocsvm,0.00859545
ocsvm,0.01026991
ocsvm,0.00675545
ocsvm,0.01032171
ocsvm,0.00888582
ocsvm,0.01216011
ocsvm,0.00790551
ocsvm,0.01076718
ocsvm,0.0079787
ocsvm,0.00980422
ocsvm,0.01124488
ocsvm,0.0029505
ocsvm,0.00757738
ocsvm,0.00647888
ocsvm,0.01270828
ocsvm,0.01344443
ocsvm,0.00376802
ocsvm,0.01033315
ocsvm,0.01181832
ocsvm,0.0098408
ocsvm,0.01305181
ocsvm,0.00610069
ocsvm,0.01499683
ocsvm,0.00806608
ocsvm,0.00887684
ocsvm,0.00981483
ocsvm,0.01619876
ocsvm,0.01047063
ocsvm,0.00870426
ocsvm,0.00917836
ocsvm,0.0061698
ocsvm,0.00555645
ocsvm,0.0138426
ocsvm,0.00822152
ocsvm,0.01068676
ocsvm,0.01138503
ocsvm,0.01080595
ocsvm,0.01600055
ocsvm,0.01486699
ocsvm,0.00888744
ocsvm,0.00811348
ocsvm,0.02098127
ocsvm,0.01033856
ocsvm,0.01111575
ocsvm,0.0096117
ocsvm,0.00692363
ocsvm,0.0127974
ocsvm,0.0056865
ocsvm,0.0118698
ocsvm,0.01366816
ocsvm,0.01755513
ocsvm,0.01634655
ocsvm,0.01369488
ocsvm,0.00938561
ocsvm,0.00786131
ocsvm,0.01270384
ocsvm,0.01207026
ocsvm,0.01879208
ocsvm,0.00931508
ocsvm,0.00706539
ocsvm,0.00925432
ocsvm,0.00358684
ocsvm,0.01187085
ocsvm,0.0140187
ocsvm,0.01049661
ocsvm,0.01381792
ocsvm,0.00390607
ocsvm,0.011158
ocsvm,0.00972411
ocsvm,0.01713329
ocsvm,0.01375717
ocsvm,0.01566115
ocsvm,0.0159503
ocsvm,-0.00011224
ocsvm,0.01476129
ocsvm,0.00858429
ocsvm,0.00989187
ocsvm,0.01423808
ocsvm,0.00574601
ocsvm,0.01242701
ocsvm,0.00677557
ocsvm,0.00947289
ocsvm,0.00928716
ocsvm,0.00389594
ocsvm,0.0051592
ocsvm,0.00615186
ocsvm,0.00706388
ocsvm,0.00621396
ocsvm,0.00916756
ocsvm,0.01552655
ocsvm,0.01355992
ocsvm,0.01159608
ocsvm,0.01496355
ocsvm,0.01149842
ocsvm,0.00452513
ocsvm,0.01333571
ocsvm,0.00340412
ocsvm,0.01051037
ocsvm,0.00264142
ocsvm,0.00881954
ocsvm,0.00674758
ocsvm,0.01005967
ocsvm,0.00763599
ocsvm,0.01612916
ocsvm,0.00722738
ocsvm,0.01862201
ocsvm,0.0079959
ocsvm,0.0106183
ocsvm,0.01440704
ocsvm,0.01309692
ocsvm,0.01324426
ocsvm,0.01084812
ocsvm,0.0107446
ocsvm,0.01702305
ocsvm,0.01034025
ocsvm,0.00829911
ocsvm,0.01000601
ocsvm,0.00998071
ocsvm,0.00782086
ocsvm,0.00497669
ocsvm,0.01184345
ocsvm,0.01009385
ocsvm,0.01247856
ocsvm,0.01604801
ocsvm,0.00450948
ocsvm,0.0113174
ocsvm,0.01230775
ocsvm,0.0085744
ocsvm,0.01814901
ocsvm,0.00974965
ocsvm,0.00990144
ocsvm,0.00892016
ocsvm,-0.00024083
ocsvm,0.01120288
ocsvm,0.01419895
ocsvm,0.00825882
ocsvm,0.00765781
ocsvm,0.01320649
ocsvm,0.01140179
ocsvm,0.00919214
ocsvm,0.00825044
ocsvm,0.00164552
ocsvm,0.00807422
ocsvm,0.00994981
ocsvm,0.01505988
ocsvm,0.00525601
ocsvm,0.00872798
ocsvm,0.00881949
ocsvm,0.01345614
ocsvm,0.00322245
ocsvm,0.0087308
ocsvm,0.00945829
ocsvm,0.00614171
ocsvm,0.01105793
ocsvm,0.01446532
ocsvm,0.0073419
ocsvm,0.01425052
ocsvm,0.01157875
ocsvm,0.00906519
ocsvm,0.00857213
ocsvm,0.01058086
ocsvm,0.00934169
ocsvm,0.00449397
ocsvm,0.0062465
ocsvm,0.01109417
ocsvm,0.00770479
ocsvm,0.01524971
ocsvm,0.00218235
ocsvm,0.01428688
ocsvm,0.01073019
ocsvm,0.013266
ocsvm,0.0065082
ocsvm,0.00886253
ocsvm,0.01383314
ocsvm,0.00421936
ocsvm,0.00396617
ocsvm,0.00941233
ocsvm,0.00725977
ocsvm,-0.00089069
ocsvm,0.01330828
ocsvm,0.0112349
ocsvm,0.00865007
ocsvm,0.00409674
ocsvm,0.01548236
ocsvm,0.01074174
ocsvm,0.01540674
ocsvm,0.00831566
ocsvm,0.00926626
ocsvm,0.01032852
ocsvm,0.01027474
ocsvm,0.01052283
ocsvm,0.01028998
ocsvm,0.01157467
ocsvm,0.00718168
ocsvm,0.01247811
ocsvm,0.00520041
ocsvm,0.02288501
ocsvm,0.01126205
ocsvm,0.01724562
ocsvm,0.01415254
ocsvm,0.00916396
ocsvm,0.00811053
ocsvm,0.01345338
ocsvm,0.00972949
ocsvm,0.01177283
ocsvm,0.01426306
ocsvm,0.01913864
ocsvm,0.00720749
ocsvm,0.0185176
ocsvm,0.00768148
ocsvm,0.00666762
ocsvm,0.00127874
ocsvm,0.00805561
ocsvm,0.00466168
ocsvm,0.00746681
ocsvm,0.00972123
ocsvm,-0.00236156
ocsvm,0.00776973
ocsvm,0.01044215
ocsvm,0.00840991
ocsvm,0.00477867
ocsvm,0.01107037
ocsvm,0.01734392
ocsvm,0.00602576
ocsvm,0.01219126
ocsvm,0.01236006
ocsvm,0.01319257
ocsvm,0.00626474
ocsvm,0.01038251
ocsvm,0.01147267
ocsvm,0.01129009
ocsvm,0.01183042
ocsvm,0.00197418
ocsvm,0.00949526
ocsvm,0.01164536
ocsvm,0.0116748
ocsvm,0.01402735
ocsvm,0.00363902
ocsvm,0.01600167
ocsvm,0.00632968
ocsvm,0.00929229
ocsvm,0.00590602
ocsvm,0.00964647
ocsvm,0.00494732
ocsvm,0.01366144
ocsvm,0.01129515
ocsvm,0.01427263
ocsvm,0.00945094
ocsvm,0.01682813
ocsvm,0.01002686
ocsvm,0.00453015
ocsvm,0.00434636
ocsvm,0.00721128
ocsvm,0.00743173
ocsvm,0.00743763
ocsvm,0.01458762
ocsvm,0.0133207
ocsvm,0.01265771
ocsvm,0.01320189
ocsvm,0.01049603
ocsvm,0.00939272
ocsvm,0.01103684
ocsvm,0.01496956
ocsvm,0.0081494
ocsvm,0.0104982
ocsvm,0.00761747
ocsvm,0.00807169
ocsvm,0.01383955
ocsvm,0.00676596
ocsvm,0.0114444
ocsvm,0.00634319
ocsvm,0.01145551
ocsvm,0.00793326
ocsvm,0.00502614
ocsvm,0.01185051
ocsvm,0.00125663
ocsvm,0.00931937
ocsvm,0.00306198
ocsvm,0.01590686
ocsvm,0.01417563
ocsvm,0.00780274
ocsvm,0.01232521
ocsvm,0.01190226
ocsvm,0.00439355
ocsvm,0.01071299
ocsvm,0.00967957
ocsvm,0.01663771
ocsvm,0.01603715
ocsvm,0.01605451
ocsvm,0.0107841
ocsvm,0.00967943
ocsvm,0.01088283
ocsvm,0.01784485
ocsvm,0.00845111
ocsvm,0.0140436
ocsvm,0.01030927
ocsvm,0.01444612
ocsvm,0.00930968
ocsvm,0.00796386
ocsvm,0.00792784
ocsvm,0.0109582
ocsvm,0.0128046
ocsvm,0.00631897
ocsvm,0.00764111
ocsvm,0.01391905
ocsvm,0.01799559
ocsvm,0.01530249
ocsvm,0.0100091
ocsvm,0.00539006
ocsvm,0.0146936
ocsvm,0.00522196
ocsvm,0.01100398
ocsvm,0.01180427
ocsvm,0.00528645
ocsvm,0.01049105
ocsvm,0.01206329
ocsvm,0.00762461
ocsvm,0.0091609
ocsvm,0.00897356
ocsvm,0.00909891
ocsvm,0.01031817
ocsvm,0.0047331
ocsvm,0.00683208
ocsvm,0.01083116
ocsvm,0.01052941
ocsvm,0.01036927
ocsvm,0.00243144
ocsvm,0.00805544
ocsvm,0.01011168
ocsvm,0.0109631
ocsvm,0.00957336
ocsvm,0.01198695
ocsvm,0.01016832
ocsvm,0.00871238
ocsvm,0.01028069
ocsvm,0.00952227
ocsvm,0.01366895
ocsvm,0.0122941
ocsvm,0.00915075
ocsvm,0.0101545
ocsvm,0.00914039
ocsvm,0.00888551
ocsvm,0.00367692
ocsvm,0.00438227
ocsvm,0.00321124
ocsvm,0.00145517
ocsvm,0.00857364
ocsvm,0.01570569
ocsvm,0.0077391
ocsvm,0.0092588
ocsvm,0.00273787
ocsvm,0.01102224
ocsvm,0.01001596
ocsvm,0.01212723
ocsvm,0.00246643
ocsvm,0.01539564
ocsvm,0.01138095
ocsvm,0.01744434
ocsvm,0.01148712
ocsvm,0.00474048
ocsvm,0.00995142
ocsvm,0.00989311
ocsvm,0.01723351
ocsvm,0.01207133
ocsvm,0.01171052
ocsvm,0.01206586
ocsvm,0.00784052
ocsvm,0.00886569
ocsvm,0.01051678
ocsvm,0.01808695
ocsvm,0.00299043
ocsvm,0.01264049
ocsvm,-0.00234701
ocsvm,0.01820556
ocsvm,0.00572706
ocsvm,0.00973177
ocsvm,0.01412809
ocsvm,0.00732447
ocsvm,0.00999076
ocsvm,0.00910757
ocsvm,0.01161585
ocsvm,0.01102351
ocsvm,0.00590724
ocsvm,0.01445823
ocsvm,0.01047609
ocsvm,0.01390662
ocsvm,0.01597483
ocsvm,0.0127903
ocsvm,0.01365258
ocsvm,0.01710129
ocsvm,0.02028479
ocsvm,0.01414328
ocsvm,0.00811255
ocsvm,0.01043374
ocsvm,0.00949075
ocsvm,0.01291946
ocsvm,0.01617038
ocsvm,0.0039161
ocsvm,0.01263623
ocsvm,0.0099274
ocsvm,0.01357661
iforest,0.00016315
iforest,-0.00116057
iforest,0.00078721
iforest,0.00054012
iforest,-0.00226562
iforest,0.00180461
iforest,-0.00255045
iforest,-0.00088571
iforest,-0.00310623
iforest,0.00271465
iforest,0.0031154
iforest,-0.00042686
iforest,0.00045284
iforest,-0.00106418
iforest,-0.00032197
iforest,0.00422662
iforest,0.00175383
iforest,-0.00153287
iforest,-0.00111386
iforest,0.0022043
iforest,-0.00036695
iforest,0.00127985
iforest,0.00147259
iforest,-0.00076231
iforest,0.00052194
iforest,-0.00189194
iforest,-0.00038891
iforest,0.00219014
iforest,-0.00111281
iforest,-0.00079878
iforest,0.0014311
iforest,0.0012299
iforest,0.00188257
iforest,-0.00079881
iforest,0.0005811
iforest,-0.00129616
iforest,-0.00211316
iforest,0.00154012
iforest,-0.00111008
iforest,0.00317093
iforest,-0.00124702
iforest,0.00122104
iforest,0.00147928
iforest,-0.00247368
iforest,0.00151539
iforest,0.00097536
iforest,0.00316117
iforest,0.00095119
iforest,-0.00088841
iforest,-0.00099647
iforest,-0.00328688
iforest,-0.00091994
iforest,-0.00068795
iforest,0.00244585
iforest,-0.00060275
iforest,0.00180001
iforest,0.00235033
iforest,0.00127615
iforest,0.00378482
iforest,0.00099754
iforest,0.00318838
iforest,0.0001034
iforest,-0.00145865
iforest,0.00052571
iforest,0.00063234
iforest,-0.00310109
iforest,0.00049648
iforest,-0.00168885
iforest,0.00290421
iforest,-0.00244445
iforest,0.0003219
iforest,0.00045949
iforest,-0.00063135
iforest,-0.00041134
iforest,0.00085507
iforest,-0.00037088
iforest,0.00085505
iforest,0.00068727
iforest,-0.00150786
iforest,-0.00050018
iforest,-0.00238435
iforest,0.00171965
iforest,0.0010253
iforest,0.00107497
iforest,0.00056974
iforest,0.00398108
iforest,0.00147114
iforest,0.00083158
iforest,0.00225733
iforest,0.0030228
iforest,-0.00178542
iforest,-0.00158806
iforest,-0.00141958
iforest,0.00076113
iforest,0.00123258
iforest,0.00221397
iforest,0.00161131
iforest,-0.00057599
iforest,0.0010501
iforest,0.00132547
iforest,0.00143017
iforest,-0.00076344
iforest,0.00012509
iforest,-0.00179292
iforest,0.00166863
iforest,-0.00084359
iforest,-1.883e-05
iforest,0.00126506
iforest,0.00094711
iforest,-0.00014124
iforest,0.00116458
iforest,-0.0014036
iforest,0.00054302
iforest,2.739e-05
iforest,-0.00134988
iforest,0.00129586
iforest,0.00194985
iforest,0.00268967
iforest,0.0002303
iforest,0.00404131
iforest,0.00154515
iforest,0.00094789
iforest,-0.00033105
iforest,-0.00135586
iforest,0.00238605
iforest,0.0026212
iforest,-0.00262016
iforest,0.00083906
iforest,-0.00021671
iforest,0.00345541
iforest,0.00276625
iforest,0.00205198
iforest,0.00048352
iforest,-0.00158106
iforest,-0.00428991
iforest,-0.00049084
iforest,0.00137859
iforest,-0.00088835
iforest,-0.0001831
iforest,0.00282191
iforest,0.00129091
iforest,-0.00099434
iforest,-0.00046076
iforest,4.09e-06
iforest,-0.00258426
iforest,0.00129173
iforest,-0.00033176
iforest,-0.00120447
iforest,-0.00050147
iforest,-0.00038035
iforest,0.00203607
iforest,-0.00245436
iforest,-7.126e-05
iforest,-0.00171101
iforest,0.00153226
iforest,0.00090579
iforest,0.00239295
iforest,-0.0009153
iforest,-0.00114651
iforest,0.00208844
iforest,-0.00104353
iforest,-0.00292147
iforest,0.00170011
iforest,0.00106769
iforest,-0.00048023
iforest,0.00220619
iforest,0.0021717
iforest,-0.00172403
iforest,0.00146497
iforest,-0.00064281
iforest,0.00089657
iforest,-0.00024271
iforest,0.00093391
iforest,-0.0036198
iforest,0.00105832
iforest,0.00468714
iforest,-0.0002047
iforest,0.0005489
iforest,-0.00203461
iforest,0.00446723
iforest,-0.00066361
iforest,0.00166761
iforest,0.00152588
iforest,0.00076958
iforest,-0.00033303
iforest,-0.00208182
iforest,-0.0003488
iforest,0.00292578
iforest,-0.00116674
iforest,0.00388191
iforest,0.00142324
iforest,-0.00059936
iforest,0.00083599
iforest,-0.0002186
iforest,0.0004548
iforest,-0.00171812
iforest,0.00359356
iforest,8.415e-05
iforest,-0.00068731
iforest,0.00348504
iforest,-0.00302316
iforest,0.0017263
iforest,-0.00276949
iforest,0.00256078
iforest,-0.00060013
iforest,-0.00023492
iforest,0.00187607
iforest,0.00224241
iforest,-0.00230198
iforest,0.00146255
iforest,-0.00051089
iforest,-0.00021503
iforest,0.002974
iforest,-0.0010107
iforest,-0.0025046
iforest,0.00142018
iforest,-0.00112944
iforest,0.00158398
iforest,0.00039507
iforest,-0.00179388
iforest,0.00091051
iforest,0.00047292
iforest,-0.00313768
iforest,-0.00128991
iforest,0.0012653
iforest,0.00115817
iforest,-0.00596545
iforest,0.00054664
iforest,-0.00019592
iforest,0.00114745
iforest,-6.26e-06
iforest,0.00081005
iforest,0.001846
iforest,0.00145246
iforest,0.00035348
iforest,0.0051259
iforest,0.00058234
iforest,0.00239361
iforest,0.0012352
iforest,-0.00173734
iforest,0.00113203
iforest,0.00144035
iforest,0.0036349
iforest,-0.00198972
iforest,0.00121808
iforest,0.00072193
iforest,0.00214603
iforest,-0.00056118
iforest,0.00242672
iforest,-0.00050445
iforest,-0.00188475
iforest,-0.0003353
iforest,-0.00029975
iforest,0.00284168
iforest,0.00049433
iforest,0.00124352
iforest,-0.0020928
iforest,0.00072405
iforest,-2.063e-05
iforest,0.0021516
iforest,0.0003055
iforest,0.00145916
iforest,-0.00556494
iforest,-0.00234105
iforest,-0.00130521
iforest,-0.00133893
iforest,0.00023539
iforest,0.00149562
iforest,-0.0009408
iforest,-0.00208746
iforest,0.00057862
iforest,0.00151452
iforest,0.00188167
iforest,0.00269142
iforest,0.00052798
iforest,0.00124325
iforest,0.00265188
iforest,0.00055782
iforest,0.00026728
iforest,0.00266101
iforest,0.00142312
iforest,-0.00153948
iforest,-0.00119561
iforest,0.00044138
iforest,0.00403744
iforest,4.454e-05
iforest,0.00130358
iforest,-0.00113058
iforest,0.00267334
iforest,-1.5e-06
iforest,0.00139692
iforest,-0.00076086
iforest,0.00097809
iforest,-0.00075774
iforest,-0.00049389
iforest,-0.00103805
iforest,-9.456e-05
iforest,0.00239075
iforest,-0.00063978
iforest,0.00072554
iforest,0.00061997
iforest,-4.39e-06
iforest,-0.00299634
iforest,-0.00031464
iforest,0.00090839
iforest,-0.0002099
iforest,-0.00228494
iforest,-0.00251488
iforest,0.00176606
iforest,0.00396946
iforest,0.00151766
iforest,0.00091394
iforest,-0.00025386
iforest,-4.3e-06
iforest,-0.00093573
iforest,0.00278398
iforest,0.00160105
iforest,-0.00222437
iforest,0.00225679
iforest,0.00302814
iforest,-0.00019693
iforest,0.002219
iforest,-0.00173265
iforest,-0.00116082
iforest,0.00037498
iforest,0.00038512
iforest,0.00019517
iforest,0.00309001
iforest,-7.17e-06
iforest,0.00164016
iforest,0.00204283
iforest,-0.00141783
iforest,-0.00104946
iforest,0.00118555
iforest,0.00169267
iforest,-0.00120518
iforest,0.00051539
iforest,0.00192407
iforest,0.00044388
iforest,-0.00016268
iforest,0.00109617
iforest,-0.0019578
iforest,1.084e-05
iforest,0.00217454
iforest,-3.516e-05
iforest,-0.00019757
iforest,0.00150562
iforest,0.00513509
iforest,-0.00034132
iforest,-0.00070087
iforest,-0.00207991
iforest,-0.0019625
iforest,-0.00017958
iforest,-0.00181521
iforest,-0.00073205
iforest,-0.00111635
iforest,-0.00132525
iforest,0.00090323
iforest,-0.00066189
iforest,-0.00242461
iforest,0.00142238
iforest,0.00202178
iforest,0.00102733
iforest,0.00168931
iforest,0.0006213
iforest,-0.00155035
iforest,0.00110926
iforest,0.00327031
iforest,-8.481e-05
iforest,0.00249095
iforest,0.00068449
iforest,-0.00110235
iforest,-0.00305413
iforest,0.00079102
iforest,0.00041536
iforest,0.00331798
iforest,0.00323447
iforest,-0.0006942
