scope,group,baseline,phase9_auc,baseline_auc,delta,boot_ci_lo,boot_ci_hi,boot_p_one_sided,boot_significant,delong_z,delong_p,delong_ci_lo,delong_ci_hi,delong_significant,n_total,n_normal,n_abnormal
machine_id,slider/id_00,ocsvm,0.989977,0.992062,-0.002085,-0.008477,0.00195,0.6735,False,-0.717,0.47337,-0.007784,0.003614,False,517,161,356
machine_id,slider/id_00,iforest,0.989977,0.988729,0.001247,-0.006149,0.0063,0.321,False,0.3805,0.70358,-0.005179,0.007673,False,517,161,356
machine_id,slider/id_00,knn,0.989977,0.994731,-0.004754,-0.01176,0.000103,0.97,False,-1.5247,0.127342,-0.010866,0.001357,False,517,161,356
machine_id,slider/id_02,ocsvm,0.933596,0.94703,-0.013434,-0.027737,-0.00122,0.985,False,-2.003,0.045177,-0.02658,-0.000288,True,428,161,267
machine_id,slider/id_02,iforest,0.933596,0.932003,0.001594,-0.007674,0.008528,0.3285,False,0.3799,0.703983,-0.006627,0.009814,False,428,161,267
machine_id,slider/id_02,knn,0.933596,0.947542,-0.013946,-0.027722,-0.002892,0.995,False,-2.2164,0.026662,-0.026279,-0.001614,True,428,161,267
machine_id,slider/id_04,ocsvm,0.67655,0.674157,0.002393,-0.045376,0.050428,0.4595,False,0.0962,0.923329,-0.046338,0.051124,False,259,81,178
machine_id,slider/id_04,iforest,0.67655,0.676377,0.000173,-0.015982,0.018081,0.4955,False,0.0203,0.983785,-0.016548,0.016895,False,259,81,178
machine_id,slider/id_04,knn,0.67655,0.66847,0.00808,-0.034761,0.053101,0.342,False,0.3588,0.719707,-0.036053,0.052213,False,259,81,178
machine_id,slider/id_06,ocsvm,0.792135,0.751006,0.041129,-0.019819,0.103949,0.0975,False,1.3063,0.191449,-0.020582,0.10284,False,170,81,89
machine_id,slider/id_06,iforest,0.792135,0.769039,0.023096,-0.007407,0.049965,0.0575,False,1.606,0.10828,-0.005091,0.051284,False,170,81,89
machine_id,slider/id_06,knn,0.792135,0.795395,-0.00326,-0.036776,0.025972,0.5925,False,-0.2128,0.831487,-0.033285,0.026765,False,170,81,89
machine_id,valve/id_00,ocsvm,0.96098,0.913501,0.047479,0.01589,0.079349,0.0015,True,3.0309,0.002438,0.016776,0.078182,True,269,150,119
machine_id,valve/id_00,iforest,0.96098,0.972437,-0.011457,-0.031133,0.0,0.9765,False,-1.3789,0.167917,-0.027741,0.004828,False,269,150,119
machine_id,valve/id_00,knn,0.96098,0.964538,-0.003557,-0.024352,0.012772,0.6345,False,-0.3765,0.706549,-0.022077,0.014962,False,269,150,119
machine_id,valve/id_02,ocsvm,0.771301,0.755607,0.015693,-0.041824,0.072058,0.288,False,0.5457,0.585246,-0.040668,0.072055,False,227,107,120
machine_id,valve/id_02,iforest,0.771301,0.722664,0.048637,0.016799,0.080977,0.002,True,2.9928,0.002765,0.016784,0.08049,True,227,107,120
machine_id,valve/id_02,knn,0.771301,0.684034,0.087266,0.039807,0.137467,0.0005,True,3.5027,0.000461,0.038435,0.136098,True,227,107,120
machine_id,valve/id_04,ocsvm,0.907583,0.893056,0.014528,-0.000902,0.026801,0.0315,False,2.0599,0.039403,0.000705,0.028351,True,270,150,120
machine_id,valve/id_04,iforest,0.907583,0.920333,-0.01275,-0.029521,-0.000717,0.984,False,-1.783,0.074592,-0.026766,0.001266,False,270,150,120
machine_id,valve/id_04,knn,0.907583,0.949056,-0.041472,-0.060958,-0.02429,1.0,False,-4.3134,1.6e-05,-0.060317,-0.022627,True,270,150,120
machine_id,valve/id_06,ocsvm,0.727194,0.636778,0.090417,0.054125,0.124576,0.0,True,5.075,0.0,0.055497,0.125336,True,270,150,120
machine_id,valve/id_06,iforest,0.727194,0.7255,0.001694,-0.017459,0.016869,0.383,False,0.1911,0.84841,-0.01568,0.019069,False,270,150,120
machine_id,valve/id_06,knn,0.727194,0.774444,-0.04725,-0.075466,-0.022911,1.0,False,-3.6253,0.000289,-0.072795,-0.021705,True,270,150,120
