machine_id,metric,normal_count,normal_mean,normal_std,normal_median,abnormal_count,abnormal_mean,abnormal_std,abnormal_median,u_statistic,p_value,rank_biserial
id_00,normalized_euclidean,152,13.805107397468467,8.719325410609558,12.365234851837158,143,32.39815388859569,23.36394540642931,25.961618423461918,4807.0,1.2651026053928152e-16,0.5576923076923077
id_00,normalized_manhattan,152,193.95593412298905,123.163523211694,174.25658416748047,143,451.6966197140567,319.99886654353537,371.7934265136719,4783.0,9.602936067620042e-17,0.5599006256900994
id_00,normalized_cosine,152,0.008431638971638964,0.09499501510056764,-0.00288215460022905,143,-0.05389666131378469,0.11248587425880639,-0.1294618844985962,15603.0,1.0069674401517465e-10,-0.43568273831431736
id_02,normalized_euclidean,152,15.1370771840999,8.131466537955106,13.609439849853516,111,24.798035097551775,8.251589459299584,26.132244110107425,3218.0,1.0918258517818098e-17,0.6185395922238027
id_02,normalized_manhattan,152,212.35247933237176,114.45664389258458,189.64527130126953,111,347.6293447683523,119.13333948358118,366.6490478515625,3325.0,4.936425457089452e-17,0.6058558558558558
id_02,normalized_cosine,152,-0.009838078440225214,0.09161036739034503,-0.02923418208956715,111,-0.06932135287383602,0.09242765331923329,-0.1246296912431716,12314.0,1.9605992510389574e-10,-0.45969653864390714
id_04,normalized_euclidean,106,14.006736112090776,8.19316174630746,11.865457534790039,100,61.15974613189697,31.138584214680694,56.05481719970703,523.0,5.702996575956625e-29,0.9013207547169811
id_04,normalized_manhattan,106,203.39875732277923,120.22772889159414,171.05723571777344,100,847.386301574707,427.9862769575693,781.7110900878906,581.0,2.6021540990991433e-28,0.8903773584905661
id_04,normalized_cosine,106,-0.02605903429585455,0.07059768885986205,-0.052856232970952946,100,0.038392330612987254,0.049255352377522994,0.0464507173746824,2631.0,4.361608808675881e-10,0.5035849056603774
id_06,normalized_euclidean,156,14.191573017682785,8.367544143525254,12.461793899536133,102,30.81974211627362,24.97113232414581,20.479491233825684,4953.0,3.000164499307414e-07,0.37745098039215685
id_06,normalized_manhattan,156,205.9334647349822,124.64492984244427,177.53678131103516,102,422.4988088420793,321.91267136968605,314.75616455078125,4883.0,1.5808594812189987e-07,0.38624937154348915
id_06,normalized_cosine,156,-0.015021830717346455,0.07286810271183755,-0.026483298279345,102,0.01252329985579184,0.0874682117888496,-0.0039665917283855,6190.0,0.002589928142776053,0.22197083961789843
